コード,銘柄名,01/21,01/20,01/17,01/16,01/15
6407,ＣＫＤ,0.05,0.05,0.05,0.05,0.15
6412,平和,0.05,0.05,0.00,0.00,0.00
6413,理想科学工業,0.05,0.05,0.05,0.05,0.15
6417,ＳＡＮＫＹＯ,0.05,-,-,-,-
6428,オーイズミ,0.05,0.05,0.05,0.05,0.15
6430,ダイコク電機,0.00,0.05,0.00,0.05,0.00
6436,アマノ,0.05,0.05,0.05,0.10,0.00
6444,サンデンホールディングス,0.00,0.00,0.00,0.00,0.00
6448,ブラザー工業,0.05,0.05,0.05,0.05,0.15
6454,マックス,0.05,0.05,0.05,0.05,0.15
6457,グローリー,0.00,0.00,0.00,0.05,0.00
6462,リケン,0.00,0.00,0.00,0.00,0.00
6463,ＴＰＲ,0.05,0.05,0.05,0.05,0.15
6465,ホシザキ,0.20,0.20,0.20,0.20,0.60
6472,ＮＴＮ,0.00,-,0.05,-,0.00
6473,ジェイテクト,0.00,-,0.00,0.00,0.00
6474,不二越,0.00,0.00,0.00,0.00,0.00
6479,ミネベアミツミ,0.05,0.05,0.05,0.05,0.15
6481,ＴＨＫ,0.05,0.10,0.05,0.05,0.15
6482,ユーシン精機,0.00,0.05,0.00,0.00,0.00
6490,日本ピラー工業,0.05,0.05,0.05,0.05,0.15
6501,日立製作所,0.00,0.00,-,-,-
6503,三菱電機,0.00,0.00,0.00,-,0.00
6504,富士電機,0.10,0.10,0.10,0.00,-
6505,東洋電機製造,0.00,0.00,0.00,0.00,0.00
6506,安川電機,0.10,0.10,0.10,0.10,0.30
6508,明電舎,0.05,0.05,0.05,0.05,0.15
6516,山洋電気,0.00,0.00,0.00,0.00,0.00
6535,アイモバイル,0.00,0.00,0.00,0.00,0.15
6551,ツナググループ・ホールディングス,0.00,0.00,0.00,0.00,-
6552,ＧａｍｅＷｉｔｈ,0.00,0.00,0.00,0.00,0.15
6586,マキタ,0.10,0.10,0.10,0.10,0.30
6588,東芝テック,0.10,0.10,0.10,0.10,0.30
6617,東光高岳,0.00,0.00,0.00,0.00,0.00
6619,ダブル・スコープ,0.00,0.00,0.00,-,0.15
6622,ダイヘン,0.10,0.10,0.10,0.05,0.30
6638,ミマキエンジニアリング,0.00,0.00,0.00,0.00,0.00
6640,第一精工,0.05,0.05,0.10,0.05,0.45
6641,日新電機,0.05,0.05,0.05,0.05,0.15
6645,オムロン,0.10,0.15,0.10,0.10,0.30
6652,ＩＤＥＣ,0.05,0.05,0.05,0.05,0.15
6654,不二電機工業,0.05,0.05,0.05,0.00,0.00
6674,ジーエス・ユアサ　コーポレーション,0.00,0.00,0.00,0.00,0.00
6702,富士通,0.20,0.20,0.20,0.20,0.60
6704,岩崎通信機,0.05,-,0.05,0.00,0.00
6706,電気興業,0.00,-,0.00,-,0.00
6723,ルネサスエレクトロニクス,0.05,0.55,0.05,0.05,0.15
6724,セイコーエプソン,0.05,0.00,0.05,0.05,0.15
6730,アクセル,0.00,-,0.00,-,0.00
6748,星和電機,0.00,0.00,0.00,0.00,0.00
6752,パナソニック,0.00,0.00,0.00,0.00,0.00
6754,アンリツ,0.05,0.05,0.05,0.05,0.15
6755,富士通ゼネラル,0.05,0.05,0.05,0.05,0.15
6762,ＴＤＫ,0.00,0.25,0.20,0.20,0.60
6763,帝国通信工業,0.05,0.05,0.05,0.05,0.15
6770,アルプスアルパイン,0.00,0.00,0.05,0.00,0.00
6794,フォスター電機,0.05,0.05,0.05,0.05,0.15
6798,ＳＭＫ,0.05,0.05,0.05,0.05,0.15
6800,ヨコオ,0.00,0.00,-,-,0.00
6804,ホシデン,0.05,0.05,0.05,0.00,0.15
6806,ヒロセ電機,0.25,0.25,0.25,0.25,0.75
6807,日本航空電子工業,0.05,0.05,0.05,0.05,0.15
6814,古野電気,0.00,0.00,0.00,0.00,-
6817,スミダコーポレーション,0.00,0.00,0.00,0.00,0.00
6823,リオン,0.10,0.10,0.10,0.10,0.30
6839,船井電機,0.05,0.05,0.05,0.05,0.15
6841,横河電機,0.00,0.00,-,-,-
6845,アズビル,0.05,0.05,0.05,0.10,0.00
6848,東亜ディーケーケー,0.05,0.05,0.05,0.05,0.15
6850,チノー,0.05,0.00,0.00,-,0.15
6853,共和電業,0.00,0.00,0.00,0.00,0.00
6856,堀場製作所,0.15,0.15,0.15,0.15,0.45
6857,アドバンテスト,0.00,0.10,0.00,0.00,0.30
6861,キーエンス,0.65,0.70,0.65,0.65,2.10
6871,日本マイクロニクス,0.05,0.05,0.05,0.05,0.15
6901,澤藤電機,0.05,0.05,0.05,0.05,0.15
6902,デンソー,0.10,0.10,0.10,0.10,0.00
6923,スタンレー電気,0.05,0.05,0.05,0.10,0.30
6926,岡谷電機産業,0.05,0.05,0.05,0.05,0.15
6941,山一電機,0.05,0.05,0.05,0.05,0.15
6947,図研,0.05,0.05,0.05,0.05,0.15
6951,日本電子,0.10,0.10,0.10,0.10,0.30
6952,カシオ計算機,0.05,0.05,0.05,0.05,0.15
6961,エンプラス,0.00,0.00,0.00,0.00,-
6962,大真空,0.05,0.05,0.55,0.05,0.45
6963,ローム,0.00,0.00,0.00,0.00,-
6965,浜松ホトニクス,0.00,0.00,0.00,0.00,0.00
6967,新光電気工業,0.05,0.05,-,0.05,0.00
6971,京セラ,0.15,0.15,0.15,0.15,0.45
6976,太陽誘電,0.00,0.00,0.00,0.00,0.00
6988,日東電工,0.10,0.10,0.10,0.00,0.00
6989,北陸電気工業,0.00,0.00,0.00,0.00,0.00
6997,日本ケミコン,0.00,-,0.00,-,-
7003,三井Ｅ＆Ｓホールディングス,0.05,0.05,0.05,0.05,0.15
7013,ＩＨＩ,0.00,0.00,0.00,-,0.00
7014,名村造船所,0.00,0.00,0.00,0.00,0.00
7022,サノヤスホールディングス,0.00,-,-,-,-
7030,スプリックス,0.00,0.00,0.00,0.00,0.00
7102,日本車輌製造,0.05,0.05,0.10,0.10,0.15
7105,三菱ロジスネクスト,0.05,0.15,0.10,0.05,0.30
7150,島根銀行,0.00,0.00,0.00,0.00,0.00
7180,九州フィナンシャルグループ,0.00,0.00,0.00,0.00,0.00
7181,かんぽ生命保険,0.05,0.05,0.05,0.05,0.15
7184,富山第一銀行,0.00,0.00,0.00,0.00,0.00
7186,コンコルディア・フィナンシャルグループ,0.00,0.00,0.00,0.00,0.00
7187,ジェイリース,0.00,0.05,0.00,0.05,0.15
7189,西日本フィナンシャルホールディングス,0.00,0.00,0.00,0.00,0.00
7190,マーキュリアインベストメント,0.00,0.00,0.00,0.00,0.00
7192,日本モーゲージサービス,0.00,0.00,0.00,0.00,0.00
7201,日産自動車,0.00,-,0.00,0.00,0.00
7202,いすゞ自動車,0.00,0.00,0.00,0.00,0.00
7203,トヨタ自動車,0.15,0.15,0.05,0.15,0.45
7205,日野自動車,0.05,0.05,0.05,0.05,0.15
7220,武蔵精密工業,0.00,-,-,-,-
7222,日産車体,0.05,0.05,0.05,0.05,0.15
7224,新明和工業,0.05,0.05,0.05,0.05,0.00
7226,極東開発工業,0.00,0.00,0.00,0.00,0.00
7231,トピー工業,0.00,0.00,0.00,0.00,0.00
7236,ティラド,0.00,0.00,0.00,0.00,0.00
7239,タチエス,0.05,0.05,0.00,0.00,0.00
7240,ＮＯＫ,0.00,0.00,0.00,0.00,0.15
7261,マツダ,0.05,0.05,0.05,0.05,-
7269,スズキ,0.10,0.10,0.10,0.10,0.00
7277,ＴＢＫ,0.05,0.05,0.05,0.05,0.15
7278,エクセディ,0.05,0.05,0.05,0.05,0.15
7280,ミツバ,0.05,0.05,0.05,0.05,0.15
7282,豊田合成,0.05,0.05,0.05,0.05,0.15
7294,ヨロズ,0.05,0.05,0.05,0.05,0.15
7309,シマノ,0.30,0.30,0.30,0.30,0.90
7313,テイ・エス　テック,0.00,0.00,0.00,-,-
7322,三十三フィナンシャルグループ,0.00,0.00,-,0.00,-
7408,ジャムコ,0.00,-,-,-,-
7414,小野建,0.05,0.05,0.05,0.05,-
7416,はるやまホールディングス,0.05,0.05,0.05,0.05,0.15
7427,エコートレーディング,0.00,0.00,0.00,0.00,0.00
7442,中山福,0.05,0.05,0.05,0.05,0.00
7445,ライトオン,0.05,0.05,0.05,0.05,0.15
7451,三菱食品,0.05,0.05,0.05,0.05,0.15
7458,第一興商,0.10,0.10,0.10,0.10,0.30
7459,メディパルホールディングス,0.05,0.05,0.05,0.05,0.15
7463,アドヴァン,0.00,0.00,0.00,0.00,0.15
7475,アルビス,0.05,0.05,0.05,0.05,0.15
7480,スズデン,0.00,0.00,0.00,0.00,0.00
7482,シモジマ,0.05,0.05,0.05,0.05,0.15
7483,ドウシシャ,0.00,0.00,-,0.05,-
7487,小津産業,0.05,0.05,0.05,0.05,0.15
7494,コナカ,0.00,0.00,0.00,0.00,0.00
7506,ハウス　オブ　ローゼ,0.05,0.05,0.05,0.05,0.15
7508,Ｇ－７ホールディングス,0.00,0.00,0.00,0.00,0.00
7513,コジマ,0.00,0.00,0.00,0.00,0.00
7524,マルシェ,0.00,0.00,0.00,0.00,0.00
7525,リックス,0.00,0.00,0.00,0.00,0.15
7532,パン・パシフィック・インターナショナルホールディングス,0.00,0.05,0.05,0.05,0.00
7550,ゼンショーホールディングス,0.00,-,-,-,0.00
7554,幸楽苑ホールディングス,0.00,0.00,0.00,0.00,0.00
7561,ハークスレイ,0.05,0.05,0.05,0.05,0.15
7570,橋本総業ホールディングス,0.00,0.00,0.00,0.00,0.00
7599,ＩＤＯＭ,0.00,-,0.00,0.05,0.00
7601,ポプラ,0.05,0.05,0.05,0.05,0.15
7615,京都きもの友禅,0.05,0.05,0.05,0.05,0.00
7616,コロワイド,0.05,0.05,0.05,0.05,0.15
7618,ピーシーデポコーポレーション,0.00,0.00,0.00,0.00,0.00
7628,オーハシテクニカ,0.05,0.05,0.05,0.05,0.15
7630,壱番屋,0.10,0.10,0.10,0.10,0.30
7637,白銅,0.00,0.00,0.00,0.00,0.00
7640,トップカルチャー,0.00,0.00,0.00,0.00,0.00
7701,島津製作所,0.00,0.05,0.05,0.05,0.15
7723,愛知時計電機,0.05,0.05,0.00,0.00,0.15
7727,オーバル,0.00,0.00,0.00,0.00,0.00
7730,マニー,0.05,0.00,0.05,0.00,0.15
7733,オリンパス,0.00,0.05,0.05,0.05,0.15
7740,タムロン,0.00,-,-,-,0.00
7741,ＨＯＹＡ,0.00,0.00,-,0.00,0.00
7743,シード,0.00,0.00,0.00,0.00,0.00
7747,朝日インテック,0.05,0.05,0.10,0.10,0.30
7752,リコー,0.05,0.55,0.05,0.05,0.15
7762,シチズン時計,0.00,0.00,0.00,0.00,-
7769,リズム時計工業,0.00,-,0.00,0.00,0.00
7782,シンシア,0.05,0.00,0.00,0.00,0.00
7817,パラマウントベッドホールディングス,0.10,0.10,0.10,0.10,0.30
7819,粧美堂,0.00,0.00,0.00,0.00,0.00
7822,永大産業,0.00,0.00,0.00,0.00,0.00
7832,バンダイナムコホールディングス,0.00,0.00,0.00,0.00,0.00
7840,フランスベッドホールディングス,0.05,0.05,0.05,0.05,0.15
7844,マーベラス,0.00,0.00,0.00,0.00,0.00
7846,パイロットコーポレーション,0.10,0.10,0.10,0.10,0.30
7856,萩原工業,0.00,0.00,0.00,0.00,0.15
7860,エイベックス,0.05,0.05,0.00,0.05,0.00
7873,アーク,0.00,-,-,0.00,0.00
7885,タカノ,0.05,0.05,0.05,0.05,0.15
7898,ウッドワン,0.05,0.05,0.05,0.05,0.15
7911,凸版印刷,0.05,0.05,0.05,0.05,0.15
7912,大日本印刷,0.00,0.00,0.00,0.00,-
7915,ＮＩＳＳＨＡ,0.00,0.00,0.00,-,0.00
7916,光村印刷,0.00,0.00,0.00,0.00,0.00
7925,前澤化成工業,0.00,-,-,-,0.15
7936,アシックス,0.00,0.00,0.00,0.00,-
7937,ツツミ,0.05,0.05,0.05,0.05,0.15
7942,ＪＳＰ,0.00,0.00,-,-,0.00
7951,ヤマハ,0.10,0.10,0.10,0.10,0.30
7952,河合楽器製作所,0.10,0.10,0.10,0.10,0.30
7962,キングジム,0.00,0.00,0.05,0.05,0.15
7965,象印マホービン,0.05,0.05,0.05,0.05,0.15
7966,リンテック,0.05,0.05,0.05,0.05,0.00
7979,松風,0.00,0.00,0.00,0.00,0.00
7981,タカラスタンダード,0.05,0.05,0.00,0.00,0.00
7984,コクヨ,0.05,0.05,0.05,0.05,0.15
7987,ナカバヤシ,0.00,0.00,0.00,0.00,0.00
7988,ニフコ,0.05,0.05,0.05,0.05,0.15
7999,ＭＵＴＯＨホールディングス,0.05,0.05,0.05,0.05,0.15
8001,伊藤忠商事,0.00,0.00,0.00,0.00,0.00
8008,ヨンドシーホールディングス,0.05,0.05,0.05,0.05,0.15
8011,三陽商会,0.05,0.05,0.05,0.05,0.15
8013,ナイガイ,0.00,0.00,-,-,0.00
8015,豊田通商,0.00,0.00,0.10,0.00,0.00
8016,オンワードホールディングス,0.05,0.05,0.05,0.05,0.15
8020,兼松,0.00,0.00,0.00,0.00,0.00
8031,三井物産,0.05,0.05,0.05,0.05,0.15
8035,東京エレクトロン,0.40,0.45,0.45,0.45,1.35
8038,東都水産,0.05,-,-,-,-
8041,ＯＵＧホールディングス,0.05,0.05,0.05,0.05,0.15
8043,スターゼン,0.10,0.10,0.05,0.10,0.30
8050,セイコーホールディングス,0.05,0.05,0.05,0.05,0.15
8051,山善,0.05,0.05,0.05,0.05,0.15
8057,内田洋行,0.15,0.10,0.20,0.20,1.35
8059,第一実業,0.00,0.00,0.00,0.00,0.00
8068,菱洋エレクトロ,0.05,0.00,0.00,0.00,0.00
8074,ユアサ商事,0.00,0.00,0.00,0.00,0.00
8075,神鋼商事,0.00,0.00,0.00,0.00,0.00
8077,小林産業,0.00,0.00,0.00,0.00,0.15
8079,正栄食品工業,0.10,0.10,0.10,0.10,0.30
8086,ニプロ,0.00,0.00,0.00,0.00,-
8089,すてきナイスグループ,0.05,0.05,0.05,0.05,0.15
8091,ニチモウ,0.00,-,-,-,-
8093,極東貿易,0.05,0.05,0.05,0.05,0.15
8098,稲畑産業,0.05,0.05,0.05,0.05,0.15
8101,ＧＳＩクレオス,0.00,0.00,0.00,0.00,0.00
8103,明和産業,0.05,0.05,0.05,0.05,0.15
8111,ゴールドウイン,0.00,0.00,0.00,0.00,0.00
8114,デサント,0.05,0.05,0.05,0.05,0.15
8130,サンゲツ,0.00,0.00,0.00,0.00,0.00
8131,ミツウロコグループホールディングス,0.00,0.00,0.00,0.00,0.00
8132,シナネンホールディングス,0.05,0.05,0.05,0.05,0.15
8140,リョーサン,0.05,0.05,0.05,0.05,0.15
8141,新光商事,0.05,0.05,0.05,0.05,0.15
8142,トーホー,0.05,0.05,0.05,0.05,0.15
8150,三信電気,0.00,0.00,0.00,0.00,0.00
8153,モスフードサービス,0.05,0.10,0.05,0.05,0.15
8158,ソーダニッカ,0.05,0.05,0.05,0.05,0.15
8160,木曽路,0.05,0.05,0.05,0.05,0.15
8163,ＳＲＳホールディングス,0.05,0.05,0.05,0.05,0.15
8166,タカキュー,0.00,0.05,0.00,0.05,0.00
8179,ロイヤルホールディングス,0.00,0.00,0.00,0.00,0.00
8182,いなげや,0.05,0.05,0.05,0.05,0.15
8184,島忠,0.00,0.00,0.00,0.00,0.00
8185,チヨダ,0.05,0.05,0.05,-,0.15
8200,リンガーハット,0.05,0.05,0.05,0.05,0.15
8214,ＡＯＫＩホールディングス,0.05,0.05,0.05,0.05,0.15
8217,オークワ,0.05,0.05,0.05,0.05,0.15
8227,しまむら,0.15,0.15,0.15,0.15,0.45
8230,はせがわ,0.05,0.05,0.05,0.05,0.15
8233,高島屋,0.00,-,0.00,-,-
8237,松屋,0.00,0.00,0.00,0.00,0.15
8242,エイチ・ツー・オー　リテイリング,0.00,0.00,0.00,0.00,0.00
8244,近鉄百貨店,0.10,0.10,0.10,0.10,0.30
8251,パルコ,0.05,-,0.05,0.00,0.00
8252,丸井グループ,0.05,0.05,0.05,0.05,0.15
8253,クレディセゾン,0.05,0.05,0.05,0.05,0.15
8255,アクシアル　リテイリング,0.00,0.00,-,0.05,0.00
8267,イオン,0.05,0.05,0.05,0.05,0.15
8275,フォーバル,0.05,0.05,0.05,0.05,0.15
8276,平和堂,0.00,0.00,0.05,0.00,0.15
8278,フジ,0.00,0.00,0.00,0.00,0.00
8279,ヤオコー,0.10,0.10,0.10,0.10,0.30
8281,ゼビオホールディングス,0.00,-,-,-,-
8282,ケーズホールディングス,0.05,0.05,0.05,0.05,0.15
8283,ＰＡＬＴＡＣ,0.10,0.10,0.10,0.10,0.30
8289,Ｏｌｙｍｐｉｃグループ,0.00,0.00,0.00,0.00,0.00
8303,新生銀行,0.05,0.05,0.05,0.00,0.00
8308,りそなホールディングス,0.00,0.00,0.00,-,0.00
8309,三井住友トラスト・ホールディングス,0.10,0.10,0.10,0.10,0.30
8316,三井住友フィナンシャルグループ,0.00,0.00,0.00,-,0.00
8331,千葉銀行,0.05,0.05,0.05,0.05,0.15
8337,千葉興業銀行,0.00,0.00,0.00,0.00,0.00
8338,筑波銀行,0.00,0.00,0.00,0.00,0.00
8341,七十七銀行,0.05,0.05,0.05,0.05,0.15
8342,青森銀行,0.05,0.05,0.05,0.05,0.15
8343,秋田銀行,0.05,0.05,0.05,0.05,0.15
8344,山形銀行,0.05,0.05,0.05,0.05,0.15
8345,岩手銀行,0.05,0.05,0.05,0.05,0.15
8346,東邦銀行,0.00,0.00,0.00,0.00,0.00
8349,東北銀行,0.00,0.00,0.00,0.00,0.00
8350,みちのく銀行,0.00,0.00,0.00,0.00,0.00
8355,静岡銀行,0.00,0.00,0.00,0.00,0.00
8359,八十二銀行,0.05,0.05,0.05,0.05,0.15
8362,福井銀行,0.05,0.05,0.05,0.05,0.15
8363,北國銀行,0.10,0.05,0.10,0.10,0.30
8364,清水銀行,0.05,0.05,0.05,0.05,0.15
8365,富山銀行,0.00,0.00,0.00,0.00,0.00
8366,滋賀銀行,0.05,0.05,0.05,0.05,0.15
8367,南都銀行,0.05,0.05,0.05,0.05,0.15
8368,百五銀行,0.00,0.00,0.00,-,-
8369,京都銀行,0.10,0.10,0.10,0.10,0.15
8370,紀陽銀行,0.05,0.05,0.05,0.05,0.15
8379,広島銀行,0.00,0.00,0.00,0.00,0.00
8382,中国銀行,0.05,0.05,0.05,0.05,0.15
8383,鳥取銀行,0.00,0.00,0.00,0.00,0.00
8385,伊予銀行,0.00,0.00,0.00,0.00,0.00
8387,四国銀行,0.05,0.00,0.05,0.00,0.15
8388,阿波銀行,0.05,0.05,0.05,0.05,0.15
8392,大分銀行,0.05,-,0.05,0.00,-
8393,宮崎銀行,0.00,0.00,0.00,0.00,0.00
8395,佐賀銀行,0.00,0.00,0.00,-,0.15
8397,沖縄銀行,0.10,0.10,0.10,0.10,0.30
8399,琉球銀行,0.00,0.00,0.00,0.00,0.15
8416,高知銀行,0.00,0.00,0.00,0.00,0.00
8439,東京センチュリー,0.10,0.10,0.00,0.05,0.15
8522,名古屋銀行,0.05,0.05,0.05,0.10,0.30
8530,中京銀行,0.05,0.05,0.05,0.05,0.15
8537,大光銀行,0.05,0.05,0.05,0.05,0.15
8542,トマト銀行,0.05,0.05,0.05,0.05,0.15
8544,京葉銀行,0.00,0.00,0.00,0.00,0.00
8551,北日本銀行,0.05,0.05,0.05,0.05,0.15
8558,東和銀行,0.00,0.00,0.00,0.00,0.00
8563,大東銀行,0.00,0.00,0.00,0.00,0.00
8566,リコーリース,0.10,0.10,0.10,0.10,0.15
8572,アコム,0.00,-,0.00,0.00,0.00
8589,アプラスフィナンシャル,0.00,0.00,0.00,0.00,0.00
8593,三菱ＵＦＪリース,0.00,0.00,0.00,0.00,0.00
8601,大和証券グループ本社,0.05,0.00,0.05,0.00,0.00
8604,野村ホールディングス,0.00,0.00,0.00,0.00,0.00
8613,丸三証券,0.00,0.00,-,-,0.00
8614,東洋証券,0.00,0.00,0.00,0.00,0.00
8616,東海東京フィナンシャル・ホールディングス,0.00,0.00,0.00,0.00,0.00
8617,光世証券,0.00,0.00,-,-,-
8624,いちよし証券,0.00,0.00,0.00,0.00,0.00
8628,松井証券,0.05,0.05,0.05,0.05,0.15
8630,ＳＯＭＰＯホールディングス,0.00,0.00,0.00,0.00,0.00
8692,だいこう証券ビジネス,0.00,0.00,0.00,0.00,-
8697,日本取引所グループ,0.05,0.05,0.05,0.05,0.15
8698,マネックスグループ,0.05,0.00,0.00,0.00,0.00
8707,岩井コスモホールディングス,0.00,0.00,0.00,0.00,0.00
8708,藍澤證券,0.05,0.05,0.05,0.05,0.15
8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,0.10,0.10,0.05,0.05,0.15
8729,ソニーフィナンシャルホールディングス,0.05,0.05,0.05,0.05,0.15
8750,第一生命ホールディングス,0.00,0.05,0.00,0.00,0.15
8766,東京海上ホールディングス,0.00,0.00,0.10,-,0.00
8769,アドバンテッジリスクマネジメント,0.00,0.00,0.00,0.00,0.00
8798,アドバンスクリエイト,0.00,0.00,0.00,0.00,0.00
8801,三井不動産,0.05,0.05,0.05,0.05,0.15
8803,平和不動産,0.10,0.10,0.10,0.10,0.30
8804,東京建物,0.05,0.05,0.05,0.05,0.15
8848,レオパレス２１,0.05,0.05,0.05,0.05,0.15
8850,スターツコーポレーション,0.00,0.00,0.00,0.00,0.00
8876,リログループ,0.05,0.05,0.05,0.05,0.15
8892,日本エスコン,0.00,0.05,0.00,0.05,0.00
8897,タカラレーベン,0.00,0.00,0.00,0.00,0.00
8904,ＡＶＡＮＴＩＡ,0.05,0.05,0.05,0.05,0.15
8905,イオンモール,0.00,0.00,0.00,-,-
8917,ファースト住建,0.00,0.00,0.00,0.00,0.00
8923,トーセイ,0.00,0.00,-,-,0.00
8928,穴吹興産,0.05,0.05,0.05,0.05,0.15
8935,エフ・ジェー・ネクスト,0.00,0.00,0.00,-,-
8999,グランディハウス,0.00,0.00,0.00,0.00,0.00
9001,東武鉄道,0.10,0.10,0.10,0.10,0.30
9006,京浜急行電鉄,0.05,0.05,0.05,0.05,0.00
9007,小田急電鉄,0.00,0.00,0.00,0.00,0.00
9008,京王電鉄,0.00,0.00,0.00,0.00,0.00
9009,京成電鉄,0.10,0.10,0.10,0.10,0.30
9010,富士急行,0.10,0.10,0.10,0.10,0.30
9014,新京成電鉄,0.05,0.05,0.05,0.05,0.15
9021,西日本旅客鉄道,0.05,0.05,0.00,0.00,-
9031,西日本鉄道,0.05,0.05,0.05,0.05,0.15
9041,近鉄グループホールディングス,0.10,0.10,0.10,0.10,0.30
9042,阪急阪神ホールディングス,0.00,0.00,0.00,0.00,0.00
9044,南海電気鉄道,0.00,0.00,0.00,0.00,0.00
9045,京阪ホールディングス,0.10,0.10,0.10,0.10,0.30
9046,神戸電鉄,0.10,0.10,0.10,0.10,0.30
9048,名古屋鉄道,0.10,0.10,0.10,0.10,0.30
9052,山陽電気鉄道,0.05,0.05,0.05,0.05,0.15
9062,日本通運,0.15,0.15,-,0.15,0.45
9065,山九,0.10,0.10,0.10,0.10,0.30
9066,日新,0.00,0.00,0.00,0.00,0.00
9070,トナミホールディングス,0.10,0.10,0.10,0.10,0.30
9075,福山通運,0.00,0.00,0.00,0.00,0.00
9076,セイノーホールディングス,0.00,0.00,0.00,0.05,0.00
9081,神奈川中央交通,0.00,0.00,-,-,-
9090,丸和運輸機関,0.05,0.05,0.05,0.05,0.15
9101,日本郵船,0.05,0.05,0.05,0.05,0.15
9104,商船三井,0.05,0.05,0.05,0.05,0.15
9130,共栄タンカー,0.05,0.05,0.05,0.05,0.15
9142,九州旅客鉄道,0.10,0.10,0.10,0.10,0.30
9232,パスコ,0.05,0.05,0.05,0.05,0.15
9260,西本Ｗｉｓｍｅｔｔａｃホールディングス,0.05,0.05,0.05,0.05,0.15
9267,Ｇｅｎｋｙ　ＤｒｕｇＳｔｏｒｅｓ,0.05,0.05,0.05,0.05,0.15
9278,ブックオフグループホールディングス,0.00,0.00,0.00,0.00,0.00
9308,乾汽船,0.05,0.05,0.05,0.05,0.15
9351,東洋埠頭,0.00,0.00,0.00,0.00,0.00
9364,上組,0.05,0.05,0.05,0.05,-
9375,近鉄エクスプレス,0.05,0.05,0.05,0.05,0.15
9384,内外トランスライン,0.05,0.05,0.05,0.05,0.15
9401,東京放送ホールディングス,0.00,0.00,0.00,0.00,0.00
9405,朝日放送グループホールディングス,0.00,0.00,0.00,0.00,0.00
9409,テレビ朝日ホールディングス,0.05,0.05,0.05,0.05,0.15
9412,スカパーＪＳＡＴホールディングス,0.00,0.00,0.05,0.05,0.15
9413,テレビ東京ホールディングス,0.05,0.05,0.05,0.05,0.15
9416,ビジョン,0.00,0.00,0.00,0.00,0.00
9419,ワイヤレスゲート,0.00,0.00,0.00,0.00,0.00
9422,コネクシオ,0.05,0.05,0.05,0.05,0.15
9433,ＫＤＤＩ,0.00,0.05,0.00,0.00,0.15
9437,ＮＴＴドコモ,0.00,0.05,-,0.00,0.30
9438,エムティーアイ,0.00,0.00,0.00,0.00,0.00
9450,ファイバーゲート,0.00,0.00,0.00,0.00,0.00
9470,学研ホールディングス,0.15,0.15,0.15,0.15,0.45
9475,昭文社,0.00,0.00,0.00,0.00,0.00
9504,中国電力,0.05,0.05,0.05,0.05,0.15
9511,沖縄電力,0.00,-,0.05,-,0.00
9517,イーレックス,0.05,0.00,0.00,0.00,0.00
9519,レノバ,0.00,0.00,0.00,0.00,0.00
9533,東邦瓦斯,0.10,0.10,0.10,0.10,0.30
9534,北海道瓦斯,0.05,-,0.05,-,0.15
9535,広島ガス,0.00,0.00,-,-,0.00
9536,西部瓦斯,0.05,0.05,0.05,0.05,0.15
9543,静岡ガス,0.05,0.05,0.05,0.05,0.15
9551,メタウォーター,0.00,0.00,0.00,0.00,0.00
9601,松竹,0.00,0.25,0.25,0.25,0.90
9605,東映,0.00,0.00,0.00,0.00,0.00
9613,エヌ・ティ・ティ・データ,0.00,0.00,-,0.00,0.00
9616,共立メンテナンス,0.00,0.00,-,-,-
9622,スペース,0.00,0.00,0.00,0.00,0.00
9628,燦ホールディングス,0.00,0.00,0.00,0.00,0.00
9663,ナガワ,0.15,0.15,0.15,0.15,0.45
9675,常磐興産,0.05,0.05,0.05,0.05,0.15
9706,日本空港ビルデング,0.10,-,0.10,0.10,0.30
9715,トランス・コスモス,0.00,0.00,0.00,0.00,0.00
9717,ジャステック,0.00,0.00,0.00,0.00,0.00
9719,ＳＣＳＫ,0.10,0.00,-,0.10,0.00
9722,藤田観光,0.00,0.00,0.00,0.00,0.00
9726,ＫＮＴ－ＣＴホールディングス,0.00,-,-,-,-
9729,トーカイ,0.05,0.05,0.05,0.05,0.15
9740,セントラル警備保障,0.10,-,0.10,0.00,0.30
9744,メイテック,0.10,0.10,0.10,0.10,0.30
9757,船井総研ホールディングス,0.05,0.05,0.05,0.05,0.15
9759,ＮＳＤ,0.00,0.05,0.05,0.05,0.15
9763,丸紅建材リース,0.05,0.05,0.05,0.05,0.15
9765,オオバ,0.00,0.00,0.00,0.00,0.00
9788,ナック,0.00,0.00,0.00,0.00,0.00
9824,泉州電業,0.10,0.05,0.05,0.05,0.30
9831,ヤマダ電機,0.05,0.05,0.05,0.05,0.15
9837,モリト,0.00,0.00,0.00,0.00,0.00
9850,グルメ杵屋,0.00,0.00,0.05,0.00,0.15
9856,ケーユーホールディングス,0.00,0.00,0.00,0.00,0.00
9861,吉野家ホールディングス,0.00,-,0.00,0.00,-
9869,加藤産業,0.00,0.00,0.00,0.00,0.00
9872,北恵,0.00,0.00,0.00,0.00,0.15
9882,イエローハット,0.05,0.05,0.05,0.00,0.00
9887,松屋フーズホールディングス,0.10,0.10,0.10,0.10,-
9896,ＪＫホールディングス,0.00,0.00,0.00,-,-
9900,サガミホールディングス,0.05,0.05,0.05,0.05,0.15
