コード,銘柄名,02/20,02/19,02/18,02/17,02/14
6409,キトー,0.00,-,0.00,-,-
6412,平和,0.05,0.20,0.05,0.05,0.05
6413,理想科学工業,0.05,0.00,0.05,-,0.05
6417,ＳＡＮＫＹＯ,0.10,0.00,0.05,0.00,0.10
6419,マースグループホールディングス,0.00,-,0.00,0.00,-
6420,フクシマガリレイ,0.10,0.40,0.10,0.10,0.10
6428,オーイズミ,0.00,0.00,0.05,0.00,0.00
6430,ダイコク電機,0.00,0.00,0.00,0.00,-
6432,竹内製作所,0.00,-,0.00,0.00,0.00
6444,サンデンホールディングス,0.00,0.00,0.00,0.00,0.00
6448,ブラザー工業,0.00,0.20,0.05,0.05,0.00
6454,マックス,0.05,0.20,0.05,0.05,0.05
6455,モリタホールディングス,0.00,0.00,0.00,0.00,0.00
6457,グローリー,0.00,-,0.00,-,0.00
6460,セガサミーホールディングス,0.00,0.00,-,0.00,-
6463,ＴＰＲ,0.00,0.00,0.05,0.05,0.05
6465,ホシザキ,0.20,0.80,0.20,0.20,0.20
6472,ＮＴＮ,0.00,0.00,0.00,-,0.00
6473,ジェイテクト,0.00,0.00,0.00,0.00,0.00
6479,ミネベアミツミ,0.05,0.20,0.05,0.05,0.05
6481,ＴＨＫ,0.00,-,-,0.00,-
6485,前澤給装工業,0.00,0.00,0.00,0.00,0.00
6490,日本ピラー工業,0.05,0.20,0.05,0.05,0.05
6503,三菱電機,0.00,-,-,0.00,-
6504,富士電機,0.05,0.00,0.10,0.10,0.10
6505,東洋電機製造,0.00,0.00,0.00,0.00,0.00
6506,安川電機,0.00,-,-,0.00,0.00
6508,明電舎,0.00,0.00,0.00,-,0.00
6516,山洋電気,0.05,0.00,-,-,-
6535,アイモバイル,0.00,0.00,0.00,0.00,0.00
6546,フルテック,0.00,0.00,0.00,0.00,0.00
6547,グリーンズ,0.00,0.00,0.00,0.00,0.00
6551,ツナググループ・ホールディングス,0.00,-,0.00,0.00,0.00
6552,ＧａｍｅＷｉｔｈ,0.00,0.00,0.00,0.00,0.00
6584,三櫻工業,0.00,0.00,0.00,0.00,0.00
6586,マキタ,0.10,0.40,0.10,0.10,0.10
6588,東芝テック,0.10,0.40,0.10,0.10,0.10
6615,ユー・エム・シー・エレクトロニクス,0.00,0.00,0.00,0.00,-
6622,ダイヘン,0.00,0.00,0.00,0.05,0.05
6630,ヤーマン,0.00,0.00,0.00,0.00,0.00
6640,第一精工,0.05,0.20,0.05,0.05,0.05
6645,オムロン,0.15,0.60,0.15,0.15,0.15
6652,ＩＤＥＣ,0.00,0.00,0.00,0.00,0.00
6653,正興電機製作所,0.00,0.00,-,0.00,0.00
6654,不二電機工業,0.05,0.20,0.05,0.05,0.05
6676,メルコホールディングス,0.00,0.00,0.00,0.00,-
6702,富士通,0.25,1.00,0.20,0.25,0.20
6704,岩崎通信機,0.05,0.20,-,0.05,-
6706,電気興業,0.00,-,0.00,0.00,0.00
6715,ナカヨ,0.00,0.00,0.00,0.00,0.00
6723,ルネサスエレクトロニクス,0.05,0.20,0.00,0.00,0.05
6724,セイコーエプソン,0.05,0.20,0.05,0.05,0.05
6737,ＥＩＺＯ,0.00,-,-,-,0.00
6742,京三製作所,0.00,0.00,0.00,0.00,0.00
6748,星和電機,0.00,0.00,0.00,0.00,0.00
6752,パナソニック,0.00,0.20,0.00,0.05,0.05
6754,アンリツ,0.00,0.00,0.00,0.00,0.00
6755,富士通ゼネラル,0.05,0.20,0.05,0.05,0.05
6763,帝国通信工業,0.05,0.20,0.05,0.05,0.05
6771,池上通信機,0.00,-,0.00,0.00,-
6785,鈴木,0.05,-,0.00,-,-
6789,ローランド　ディー．ジー．,0.00,0.00,0.00,0.00,0.00
6794,フォスター電機,0.00,0.00,-,0.00,-
6798,ＳＭＫ,0.00,-,-,-,-
6806,ヒロセ電機,0.25,1.00,0.25,0.25,0.25
6807,日本航空電子工業,0.00,0.00,0.00,0.00,0.00
6817,スミダコーポレーション,0.00,0.00,0.00,0.00,0.00
6820,アイコム,0.00,0.00,0.00,0.00,0.00
6823,リオン,0.00,0.20,0.00,0.05,0.00
6839,船井電機,0.05,0.20,0.05,0.05,0.05
6841,横河電機,0.00,-,-,-,-
6848,東亜ディーケーケー,0.05,0.20,0.05,0.05,0.05
6849,日本光電工業,0.10,0.40,0.00,0.00,-
6850,チノー,0.00,0.00,0.00,0.00,0.00
6856,堀場製作所,0.15,0.60,0.00,0.15,0.15
6861,キーエンス,0.00,0.00,0.00,0.00,0.00
6871,日本マイクロニクス,0.00,0.00,-,0.00,0.00
6875,メガチップス,0.00,0.00,0.00,-,0.00
6879,ＩＭＡＧＩＣＡ　ＧＲＯＵＰ,0.00,0.00,0.00,0.00,0.00
6908,イリソ電子工業,0.00,0.00,-,0.00,0.00
6923,スタンレー電気,0.05,0.20,0.05,0.05,0.05
6926,岡谷電機産業,0.05,0.20,0.05,0.05,0.05
6941,山一電機,0.05,0.20,0.05,0.05,0.05
6947,図研,0.05,0.20,0.05,0.05,0.05
6951,日本電子,0.10,0.40,0.05,0.05,0.05
6952,カシオ計算機,0.05,0.20,0.05,0.05,0.05
6962,大真空,0.05,0.20,0.05,0.05,0.05
6965,浜松ホトニクス,0.00,0.00,0.00,0.00,0.00
6967,新光電気工業,0.05,0.20,0.05,0.05,0.05
6971,京セラ,0.15,0.60,0.15,0.15,0.15
6976,太陽誘電,0.10,0.00,0.00,0.05,0.05
6988,日東電工,0.10,0.00,0.10,0.00,0.10
6989,北陸電気工業,0.00,0.00,0.00,0.00,0.00
6997,日本ケミコン,0.00,0.00,0.00,0.00,0.00
6999,ＫＯＡ,0.00,-,-,0.00,0.00
7003,三井Ｅ＆Ｓホールディングス,0.00,0.00,0.00,0.00,0.00
7011,三菱重工業,0.00,0.00,0.00,0.00,0.00
7013,ＩＨＩ,0.00,0.00,0.05,0.05,0.05
7014,名村造船所,0.00,0.00,0.00,0.00,-
7022,サノヤスホールディングス,0.00,-,0.00,0.00,0.00
7030,スプリックス,0.00,0.00,0.00,0.00,0.00
7102,日本車輌製造,0.00,0.00,0.00,0.00,0.00
7105,三菱ロジスネクスト,0.10,0.40,0.05,0.05,0.05
7150,島根銀行,0.00,0.00,0.00,0.00,0.00
7164,全国保証,0.00,0.00,0.00,0.00,0.00
7167,めぶきフィナンシャルグループ,0.00,0.00,0.00,0.00,0.00
7181,かんぽ生命保険,0.00,0.00,0.00,0.00,0.00
7184,富山第一銀行,0.00,0.00,0.00,0.00,0.00
7186,コンコルディア・フィナンシャルグループ,0.00,0.20,0.00,0.05,0.00
7187,ジェイリース,0.00,0.00,-,0.00,-
7189,西日本フィナンシャルホールディングス,0.00,0.00,0.00,-,0.00
7190,マーキュリアインベストメント,0.00,0.00,0.00,0.00,0.00
7191,イントラスト,0.00,-,-,0.00,-
7192,日本モーゲージサービス,0.00,0.00,0.00,0.00,0.00
7201,日産自動車,0.00,0.00,-,0.00,-
7203,トヨタ自動車,0.15,-,0.00,0.15,0.05
7205,日野自動車,0.05,0.20,0.05,0.05,0.05
7212,エフテック,0.00,0.00,0.00,0.00,0.00
7220,武蔵精密工業,0.00,-,-,-,0.00
7222,日産車体,0.05,0.20,0.05,0.05,0.05
7224,新明和工業,0.00,0.00,0.00,0.00,0.00
7236,ティラド,0.00,-,-,-,0.00
7239,タチエス,0.05,0.20,0.05,0.05,0.05
7240,ＮＯＫ,0.05,0.00,0.05,0.00,0.00
7244,市光工業,0.00,-,0.00,0.00,0.00
7261,マツダ,0.00,0.00,-,0.00,-
7267,本田技研工業,0.05,0.20,0.05,0.05,0.05
7269,スズキ,0.10,0.40,0.10,0.10,0.10
7277,ＴＢＫ,0.05,0.20,0.05,0.05,0.05
7278,エクセディ,0.00,0.00,0.00,0.00,0.05
7280,ミツバ,0.05,0.20,0.05,0.05,0.05
7282,豊田合成,0.05,-,-,-,0.00
7294,ヨロズ,0.05,0.20,0.05,0.05,0.05
7313,テイ・エス　テック,0.00,0.00,0.00,-,0.00
7322,三十三フィナンシャルグループ,0.00,-,0.00,0.00,0.00
7416,はるやまホールディングス,0.05,0.20,0.05,0.05,0.05
7421,カッパ・クリエイト,0.00,0.00,0.00,0.00,-
7427,エコートレーディング,0.05,0.20,0.05,0.05,0.05
7438,コンドーテック,0.00,-,-,0.00,-
7442,中山福,0.05,0.20,0.05,0.05,0.05
7445,ライトオン,0.05,0.20,0.05,0.05,0.05
7451,三菱食品,0.05,0.20,0.05,0.05,0.05
7455,三城ホールディングス,0.00,0.00,0.00,0.00,-
7458,第一興商,0.00,-,-,0.00,-
7459,メディパルホールディングス,0.05,0.20,0.05,0.05,0.05
7463,アドヴァン,0.05,0.20,0.05,0.05,0.05
7475,アルビス,0.05,0.20,0.05,0.05,0.00
7480,スズデン,0.00,0.00,0.00,0.00,0.00
7482,シモジマ,0.05,0.20,0.05,0.05,0.05
7487,小津産業,0.00,-,0.00,-,0.00
7494,コナカ,0.00,0.00,0.00,0.00,0.00
7506,ハウス　オブ　ローゼ,0.05,0.20,0.05,0.05,0.05
7508,Ｇ－７ホールディングス,0.00,-,-,-,-
7512,イオン北海道,0.05,0.20,0.05,0.05,0.05
7522,ワタミ,0.05,0.20,0.05,0.05,0.00
7524,マルシェ,0.05,0.20,0.05,0.05,0.05
7525,リックス,0.05,0.20,0.05,0.05,0.05
7532,パン・パシフィック・インターナショナルホールディングス,0.05,0.20,0.05,0.05,0.05
7537,丸文,0.00,0.00,-,0.00,0.00
7545,西松屋チェーン,0.05,0.20,1.90,0.05,0.05
7550,ゼンショーホールディングス,0.05,0.20,0.05,0.05,0.05
7552,ハピネット,0.00,0.00,0.00,0.00,0.00
7554,幸楽苑ホールディングス,0.00,0.00,0.00,0.00,0.00
7570,橋本総業ホールディングス,0.00,0.00,0.00,0.00,-
7581,サイゼリヤ,0.00,0.00,0.05,0.05,-
7599,ＩＤＯＭ,0.00,0.00,0.00,0.00,0.00
7601,ポプラ,0.05,-,0.05,-,0.00
7611,ハイデイ日高,0.00,0.00,0.00,-,0.00
7613,シークス,0.00,-,0.00,-,0.00
7615,京都きもの友禅,0.05,0.00,0.05,0.05,0.05
7616,コロワイド,0.05,0.20,0.05,0.05,0.05
7618,ピーシーデポコーポレーション,0.05,0.20,0.05,0.00,0.00
7628,オーハシテクニカ,0.00,0.00,0.00,0.00,0.00
7630,壱番屋,0.10,0.40,0.10,0.10,0.10
7637,白銅,0.00,0.20,0.00,0.05,0.05
7640,トップカルチャー,0.00,0.00,0.00,0.00,0.00
7723,愛知時計電機,0.05,0.20,0.05,0.05,0.05
7727,オーバル,0.00,0.00,0.00,0.00,0.00
7729,東京精密,0.10,-,-,0.00,0.10
7733,オリンパス,0.05,0.20,0.05,0.00,0.05
7734,理研計器,0.00,0.00,0.00,0.00,0.00
7743,シード,0.00,0.00,0.00,0.00,0.00
7752,リコー,0.05,0.20,0.05,0.05,0.05
7769,リズム時計工業,0.00,0.00,0.00,0.00,0.00
7780,メニコン,0.00,0.00,0.00,0.00,0.00
7782,シンシア,0.00,0.00,0.00,-,0.00
7811,中本パックス,0.00,0.00,0.00,0.00,0.00
7817,パラマウントベッドホールディングス,0.00,0.00,0.00,0.00,0.00
7819,粧美堂,0.00,0.00,0.00,0.00,0.00
7821,前田工繊,0.00,0.00,0.00,0.00,0.00
7822,永大産業,0.00,0.00,0.00,0.00,0.00
7823,アートネイチャー,0.00,-,0.00,-,-
7840,フランスベッドホールディングス,0.00,0.00,0.00,0.00,0.00
7844,マーベラス,0.00,0.00,0.00,0.00,0.00
7846,パイロットコーポレーション,0.10,0.40,0.10,0.10,0.10
7856,萩原工業,0.05,0.20,0.00,0.05,0.05
7860,エイベックス,0.05,0.20,0.05,0.05,0.05
7862,トッパン・フォームズ,0.00,0.00,0.00,-,0.00
7885,タカノ,0.05,0.20,0.05,0.05,0.05
7898,ウッドワン,0.00,0.00,0.00,0.00,0.00
7905,大建工業,0.05,0.20,0.05,0.05,0.05
7911,凸版印刷,0.05,0.20,0.05,0.05,0.05
7912,大日本印刷,0.00,-,-,-,0.00
7916,光村印刷,0.00,0.00,0.00,0.00,0.00
7931,未来工業,0.00,0.00,-,-,-
7936,アシックス,0.00,-,0.00,0.00,0.00
7937,ツツミ,0.05,0.20,0.05,0.05,0.05
7947,エフピコ,0.15,0.60,-,0.15,0.15
7949,小松ウオール工業,0.00,0.00,0.00,0.00,0.00
7951,ヤマハ,0.10,0.40,0.10,0.10,0.10
7952,河合楽器製作所,0.00,-,-,-,0.00
7962,キングジム,0.00,0.00,0.00,0.00,0.00
7965,象印マホービン,0.05,0.20,0.05,0.05,0.05
7966,リンテック,0.05,0.20,0.05,0.05,0.05
7970,信越ポリマー,0.00,-,0.00,-,-
7976,三菱鉛筆,0.05,0.00,0.00,0.00,0.00
7979,松風,0.00,0.20,0.00,0.05,0.05
7981,タカラスタンダード,0.00,0.00,0.00,0.00,0.00
7987,ナカバヤシ,0.00,0.00,0.00,0.00,0.00
7988,ニフコ,0.05,0.20,0.05,0.05,0.05
7999,ＭＵＴＯＨホールディングス,0.05,0.20,0.05,0.05,0.05
8007,高島,0.00,0.00,0.00,0.00,-
8008,ヨンドシーホールディングス,0.05,0.20,0.05,0.05,0.05
8011,三陽商会,0.05,0.20,0.05,0.05,0.05
8012,長瀬産業,0.00,0.00,-,-,-
8014,蝶理,0.00,0.00,0.00,0.00,0.00
8015,豊田通商,0.10,0.40,0.10,0.10,0.10
8016,オンワードホールディングス,0.05,0.20,0.05,0.05,0.05
8028,ファミリーマート,0.05,0.20,0.05,0.05,0.05
8031,三井物産,0.05,0.20,0.05,0.05,0.05
8032,日本紙パルプ商事,0.05,0.20,0.10,0.10,0.00
8035,東京エレクトロン,0.45,1.80,-,0.45,0.45
8038,東都水産,0.05,0.20,0.05,0.05,0.05
8051,山善,0.05,0.20,0.05,0.05,0.05
8052,椿本興業,0.10,-,0.10,-,0.10
8057,内田洋行,0.00,-,0.00,-,0.15
8058,三菱商事,0.00,-,-,0.00,0.00
8059,第一実業,0.00,0.00,0.00,0.00,0.00
8060,キヤノンマーケティングジャパン,0.05,-,0.05,-,0.05
8074,ユアサ商事,0.00,-,0.00,-,0.00
8077,小林産業,0.00,0.00,0.00,0.00,0.00
8079,正栄食品工業,0.10,0.40,0.10,0.10,0.10
8087,フルサト工業,0.00,0.00,0.00,0.00,0.00
8089,すてきナイスグループ,0.05,0.20,0.05,0.05,0.05
8093,極東貿易,0.05,0.20,0.05,0.05,0.05
8098,稲畑産業,0.00,0.00,-,0.05,0.05
8101,ＧＳＩクレオス,0.00,0.00,0.00,0.00,0.00
8103,明和産業,0.05,0.20,0.05,0.05,0.05
8111,ゴールドウイン,0.00,0.00,0.00,0.00,0.00
8113,ユニ・チャーム,0.00,0.00,0.00,0.00,0.00
8114,デサント,0.05,0.20,0.05,0.05,0.05
8131,ミツウロコグループホールディングス,0.00,0.00,0.00,0.00,0.00
8132,シナネンホールディングス,0.05,0.20,0.05,0.05,0.05
8136,サンリオ,0.05,0.20,0.00,0.00,0.00
8140,リョーサン,0.05,0.00,0.00,0.05,0.05
8141,新光商事,0.00,0.00,0.00,0.05,0.05
8142,トーホー,0.05,0.20,0.05,0.05,0.05
8150,三信電気,0.00,0.00,0.00,0.00,0.00
8153,モスフードサービス,0.05,0.20,0.05,0.05,0.05
8158,ソーダニッカ,0.00,0.20,0.00,0.00,0.05
8160,木曽路,0.05,0.20,0.05,0.05,0.05
8163,ＳＲＳホールディングス,0.05,0.20,0.05,0.05,0.05
8165,千趣会,0.00,0.00,0.00,0.00,0.00
8166,タカキュー,0.05,0.20,0.00,0.05,0.00
8174,日本瓦斯,0.05,0.20,0.05,0.05,0.05
8179,ロイヤルホールディングス,0.00,0.00,0.00,0.00,0.00
8182,いなげや,0.05,0.20,0.05,0.05,0.05
8185,チヨダ,0.05,0.20,0.05,0.05,0.05
8194,ライフコーポレーション,0.05,0.20,0.05,0.05,0.05
8200,リンガーハット,0.05,0.20,0.05,0.05,0.05
8203,ＭｒＭａｘＨＤ,0.00,0.00,0.00,0.00,0.00
8214,ＡＯＫＩホールディングス,0.00,0.00,0.00,0.00,0.00
8217,オークワ,0.05,0.20,2.05,0.05,0.05
8218,コメリ,0.00,0.00,0.00,0.00,0.00
8227,しまむら,0.00,0.60,0.30,0.00,0.00
8230,はせがわ,0.05,0.20,0.05,0.05,0.05
8233,高島屋,0.05,0.00,0.05,0.05,0.05
8237,松屋,0.05,0.20,0.05,0.05,0.05
8244,近鉄百貨店,0.10,0.40,0.10,0.10,0.10
8251,パルコ,0.05,0.20,0.05,0.05,0.05
8252,丸井グループ,0.05,0.20,0.05,0.05,0.05
8253,クレディセゾン,0.05,0.20,0.05,0.05,0.05
8260,井筒屋,0.00,0.00,0.00,0.00,0.00
8267,イオン,0.05,0.20,0.05,0.05,0.05
8275,フォーバル,0.05,0.20,0.05,0.05,0.05
8276,平和堂,0.05,0.20,0.55,0.05,0.00
8278,フジ,0.05,0.20,0.00,0.00,0.05
8279,ヤオコー,0.10,0.40,0.10,0.10,0.10
8281,ゼビオホールディングス,0.00,0.00,0.00,0.00,0.00
8282,ケーズホールディングス,0.00,0.00,0.00,-,-
8289,Ｏｌｙｍｐｉｃグループ,0.00,0.00,0.00,0.00,0.00
8303,新生銀行,0.05,0.20,0.05,0.05,0.05
8309,三井住友トラスト・ホールディングス,0.00,0.00,0.00,0.00,0.00
8331,千葉銀行,0.05,0.20,0.05,0.05,0.05
8337,千葉興業銀行,0.00,0.00,0.00,0.00,0.00
8338,筑波銀行,0.00,0.00,0.00,0.00,0.00
8341,七十七銀行,0.05,0.00,0.05,0.05,0.05
8342,青森銀行,0.05,0.20,0.05,0.05,0.05
8343,秋田銀行,0.00,-,0.00,-,-
8344,山形銀行,0.05,0.20,0.05,0.05,0.05
8345,岩手銀行,0.05,0.00,0.00,0.00,0.00
8346,東邦銀行,0.00,0.00,0.00,0.00,0.00
8349,東北銀行,0.00,0.00,0.00,0.00,0.00
8350,みちのく銀行,0.00,0.00,0.00,0.00,0.00
8355,静岡銀行,0.00,0.00,0.00,0.00,0.00
8359,八十二銀行,0.00,-,0.00,0.00,0.00
8360,山梨中央銀行,0.05,-,-,-,-
8361,大垣共立銀行,0.00,0.00,0.00,0.00,0.00
8362,福井銀行,0.05,0.20,0.05,0.05,0.05
8363,北國銀行,0.10,0.40,0.10,0.10,0.10
8364,清水銀行,0.05,0.20,0.05,0.05,0.05
8365,富山銀行,0.00,0.00,0.00,0.00,0.00
8366,滋賀銀行,0.05,0.20,0.05,0.05,0.05
8367,南都銀行,0.05,0.20,0.05,0.05,0.05
8368,百五銀行,0.00,-,0.00,0.00,0.00
8369,京都銀行,0.10,0.40,0.10,0.10,0.10
8370,紀陽銀行,0.05,0.20,0.05,0.05,0.05
8379,広島銀行,0.00,0.00,0.00,0.00,0.00
8382,中国銀行,0.05,0.20,0.05,0.05,0.05
8383,鳥取銀行,0.00,0.00,0.00,0.00,0.00
8387,四国銀行,0.00,0.00,0.00,0.00,0.00
8388,阿波銀行,0.05,-,-,-,-
8392,大分銀行,0.00,0.00,0.00,0.00,0.00
8393,宮崎銀行,0.00,-,0.00,-,0.00
8397,沖縄銀行,0.05,0.20,0.10,0.10,0.10
8399,琉球銀行,0.00,0.00,0.00,0.00,0.00
8410,セブン銀行,0.00,-,-,-,0.00
8416,高知銀行,0.00,0.00,0.00,0.00,0.00
8521,長野銀行,0.00,0.00,0.00,0.00,0.00
8522,名古屋銀行,0.10,0.20,0.10,0.10,0.10
8530,中京銀行,0.05,0.20,0.05,0.05,0.05
8537,大光銀行,0.05,0.20,0.05,0.05,0.05
8541,愛媛銀行,0.05,0.20,0.05,0.05,0.05
8542,トマト銀行,0.05,0.20,0.05,0.05,0.05
8544,京葉銀行,0.00,0.00,0.00,0.00,0.00
8551,北日本銀行,0.05,0.20,0.05,0.05,0.05
8558,東和銀行,0.00,0.00,0.00,0.00,0.00
8563,大東銀行,0.00,0.00,0.00,0.05,0.05
8589,アプラスフィナンシャル,0.00,0.00,0.00,0.00,0.00
8593,三菱ＵＦＪリース,0.00,0.00,0.00,0.00,0.00
8595,ジャフコ,0.00,0.00,0.00,0.00,0.00
8601,大和証券グループ本社,0.00,-,0.00,-,0.00
8604,野村ホールディングス,0.00,0.00,0.00,0.00,0.00
8613,丸三証券,0.00,0.00,0.00,0.00,0.00
8614,東洋証券,0.00,-,0.00,0.00,0.00
8624,いちよし証券,0.00,0.00,0.00,0.00,0.00
8628,松井証券,0.05,0.20,0.05,0.05,0.05
8630,ＳＯＭＰＯホールディングス,0.10,0.40,0.10,0.10,0.00
8692,だいこう証券ビジネス,0.00,0.00,0.00,0.00,0.00
8697,日本取引所グループ,0.05,0.20,0.05,0.05,0.05
8698,マネックスグループ,0.00,0.00,0.00,0.00,0.00
8707,岩井コスモホールディングス,0.00,0.00,0.00,0.00,0.00
8708,藍澤證券,0.05,0.20,0.05,0.05,0.05
8715,アニコム　ホールディングス,0.10,0.40,0.00,0.00,0.00
8725,ＭＳ＆ＡＤインシュアランスグループホールディングス,0.00,0.00,0.00,0.10,0.00
8729,ソニーフィナンシャルホールディングス,0.00,-,-,0.00,0.00
8742,小林洋行,0.00,-,-,-,0.00
8750,第一生命ホールディングス,0.00,-,-,0.00,0.05
8766,東京海上ホールディングス,0.10,0.40,0.10,0.10,0.10
8769,アドバンテッジリスクマネジメント,0.00,0.00,0.00,0.00,0.00
8793,ＮＥＣキャピタルソリューション,0.00,0.00,0.00,0.00,0.00
8795,Ｔ＆Ｄホールディングス,0.00,-,0.00,-,0.00
8798,アドバンスクリエイト,0.00,0.00,0.00,0.00,0.00
8801,三井不動産,0.05,0.20,0.05,0.05,0.05
8803,平和不動産,0.10,0.40,0.05,0.05,0.10
8804,東京建物,0.05,0.20,0.05,0.05,0.05
8830,住友不動産,0.10,0.40,0.10,0.10,0.10
8841,テーオーシー,0.00,-,0.00,-,0.00
8892,日本エスコン,0.00,0.00,0.00,0.05,0.00
8897,タカラレーベン,0.00,-,0.00,-,0.00
8904,ＡＶＡＮＴＩＡ,0.00,0.00,0.05,0.05,0.05
8905,イオンモール,0.00,0.00,0.00,0.00,-
8917,ファースト住建,0.00,0.00,0.00,0.00,0.00
8923,トーセイ,0.00,0.00,-,0.00,-
8928,穴吹興産,0.00,0.00,0.00,0.00,0.00
8999,グランディハウス,0.00,0.00,0.00,0.00,0.00
9001,東武鉄道,0.10,0.40,0.10,0.10,0.10
9007,小田急電鉄,0.00,0.00,0.00,0.00,0.00
9008,京王電鉄,0.00,0.00,0.00,0.00,-
9009,京成電鉄,0.10,0.40,0.10,0.10,0.10
9010,富士急行,0.10,0.40,0.10,0.10,0.10
9014,新京成電鉄,0.05,0.20,0.05,0.05,0.05
9024,西武ホールディングス,0.00,-,-,-,-
9025,鴻池運輸,0.00,0.00,-,0.00,0.00
9031,西日本鉄道,0.05,0.20,0.05,0.05,0.05
9041,近鉄グループホールディングス,0.00,0.20,0.00,0.05,0.10
9042,阪急阪神ホールディングス,0.05,0.40,0.10,0.10,0.10
9044,南海電気鉄道,0.00,0.00,0.00,0.00,0.00
9045,京阪ホールディングス,0.10,0.40,0.10,0.10,0.10
9046,神戸電鉄,0.00,0.00,0.00,-,0.10
9048,名古屋鉄道,0.00,0.00,0.00,0.05,0.00
9052,山陽電気鉄道,0.00,-,-,0.00,-
9062,日本通運,0.00,0.20,-,0.10,0.00
9064,ヤマトホールディングス,0.00,-,0.00,0.00,0.00
9066,日新,0.00,0.00,0.00,0.00,0.00
9070,トナミホールディングス,0.10,0.40,0.10,0.10,0.10
9074,日本石油輸送,0.00,0.00,0.00,0.00,0.00
9081,神奈川中央交通,0.10,0.40,0.10,0.10,0.10
9086,日立物流,0.00,0.00,0.00,0.00,0.00
9090,丸和運輸機関,0.05,0.20,0.05,0.05,0.05
9101,日本郵船,0.05,0.20,0.05,0.05,0.05
9104,商船三井,0.05,0.20,0.05,0.05,0.05
9130,共栄タンカー,0.05,0.20,0.05,0.05,0.05
9142,九州旅客鉄道,0.10,0.40,0.10,0.10,0.10
9202,ＡＮＡホールディングス,0.00,0.00,-,-,0.00
9232,パスコ,0.05,0.20,0.05,0.05,0.05
9260,西本Ｗｉｓｍｅｔｔａｃホールディングス,0.10,0.20,0.10,0.05,0.00
9267,Ｇｅｎｋｙ　ＤｒｕｇＳｔｏｒｅｓ,0.00,0.20,0.05,0.05,0.05
9278,ブックオフグループホールディングス,0.00,0.00,0.00,0.00,0.00
9301,三菱倉庫,0.00,0.00,0.00,0.00,0.00
9308,乾汽船,0.05,0.20,0.05,0.05,0.05
9364,上組,0.00,0.00,-,0.00,-
9369,キユーソー流通システム,0.00,0.00,0.00,0.00,0.00
9375,近鉄エクスプレス,0.05,0.20,0.05,0.05,0.05
9384,内外トランスライン,0.00,0.00,0.00,0.00,0.00
9401,東京放送ホールディングス,0.00,0.00,0.00,0.00,0.00
9404,日本テレビホールディングス,0.00,0.00,0.00,0.00,0.00
9405,朝日放送グループホールディングス,0.00,0.00,0.00,0.00,0.00
9409,テレビ朝日ホールディングス,0.05,0.20,0.05,0.05,0.05
9412,スカパーＪＳＡＴホールディングス,0.00,0.00,0.00,-,-
9413,テレビ東京ホールディングス,0.05,0.20,0.05,0.05,0.05
9417,スマートバリュー,0.00,0.00,0.00,0.00,-
9419,ワイヤレスゲート,0.00,0.00,0.00,0.00,-
9433,ＫＤＤＩ,0.10,0.40,0.10,0.10,0.10
9437,ＮＴＴドコモ,0.10,0.40,0.10,0.10,0.10
9438,エムティーアイ,0.00,0.00,0.00,0.00,0.00
9450,ファイバーゲート,0.00,0.00,0.00,0.00,0.00
9470,学研ホールディングス,0.15,0.60,0.15,0.15,0.15
9475,昭文社,0.00,0.00,0.00,0.00,0.00
9503,関西電力,0.00,-,0.00,0.00,0.00
9504,中国電力,0.05,0.20,0.05,0.05,0.05
9517,イーレックス,0.00,0.00,-,-,-
9533,東邦瓦斯,0.10,0.40,0.10,0.10,0.10
9536,西部瓦斯,0.05,0.20,0.05,0.05,0.05
9543,静岡ガス,0.05,0.20,0.05,0.05,0.05
9601,松竹,0.25,1.00,0.25,0.05,0.25
9603,エイチ・アイ・エス,0.05,0.00,0.05,0.05,0.05
9605,東映,0.00,0.00,0.00,0.00,0.00
9616,共立メンテナンス,0.00,0.00,0.00,0.00,-
9622,スペース,0.00,0.00,0.00,0.00,0.00
9627,アインホールディングス,0.00,0.60,0.15,0.15,0.15
9663,ナガワ,0.15,0.60,0.15,0.15,0.15
9672,東京都競馬,0.10,0.40,0.10,-,-
9675,常磐興産,0.05,0.20,0.05,0.05,0.05
9697,カプコン,0.10,0.40,0.10,0.10,0.10
9702,アイ・エス・ビー,0.05,0.20,0.05,0.00,-
9706,日本空港ビルデング,0.10,0.40,0.10,0.10,0.10
9717,ジャステック,0.00,0.00,0.00,0.00,0.00
9719,ＳＣＳＫ,0.10,0.40,0.10,0.10,0.10
9722,藤田観光,0.05,0.20,0.05,0.05,0.00
9726,ＫＮＴ－ＣＴホールディングス,0.05,0.20,0.05,0.05,0.05
9728,日本管財,0.00,0.00,0.00,0.00,0.00
9729,トーカイ,0.00,-,0.05,-,0.00
9742,アイネス,0.05,0.20,0.05,0.05,0.05
9743,丹青社,0.00,0.00,0.00,0.00,-
9744,メイテック,0.00,0.00,0.00,0.10,0.05
9759,ＮＳＤ,0.05,0.20,0.05,0.05,0.00
9763,丸紅建材リース,0.00,0.00,0.00,0.00,-
9783,ベネッセホールディングス,0.00,-,-,-,-
9787,イオンディライト,0.00,-,-,-,-
9824,泉州電業,0.00,0.20,0.00,0.05,0.00
9831,ヤマダ電機,0.05,0.20,0.05,0.05,0.05
9837,モリト,0.00,0.00,0.00,0.00,0.00
